,distance,moving_time,start_date_local,average_watts,average_heartrate,HR Zone 1,HR Zone 2,HR Zone 3,HR Zone 4,HR Zone 5,Power Zone 1,Power Zone 2,Power Zone 3,Power Zone 4,Power Zone 5,Power Zone 6,Power Zone 7,Power Zone 8,Power Zone 9,Power Zone 10,Power Zone 11,ftp
0,63539.8,8189,2023-10-17T10:00:06Z,155.9,152.1,125.0,4257.0,2782.0,1025.0,0.0,618.0,127.0,738.0,1868.0,3179.0,951.0,564.0,88.0,29.0,7.0,20.0,123.11604166666666
1,65466.1,8033,2023-10-15T06:22:30Z,149.1,144.8,146.0,5628.0,1349.0,910.0,0.0,1972.0,291.0,838.0,1426.0,1427.0,639.0,382.0,299.0,282.0,177.0,300.0,122.89595833333334
2,24439.8,4925,2023-10-14T08:00:20Z,73.6,128.2,579.0,3980.0,361.0,5.0,0.0,1101.0,1573.0,1520.0,463.0,74.0,23.0,6.0,8.0,4.0,4.0,149.0,86.03041666666667
3,8939.8,1432,2023-10-14T07:31:51Z,75.0,112.2,1078.0,337.0,17.0,0.0,0.0,325.0,221.0,615.0,179.0,34.0,17.0,11.0,4.0,5.0,1.0,20.0,56.351625
4,104175.0,13563,2023-10-13T06:24:08Z,148.8,135.2,548.0,12483.0,532.0,0.0,0.0,1780.0,150.0,1067.0,3382.0,4263.0,1930.0,536.0,261.0,94.0,50.0,50.0,55.377874999999996
5,91881.9,11934,2023-10-12T06:04:30Z,160.0,148.9,169.0,6993.0,3472.0,1300.0,0.0,1737.0,284.0,967.0,2392.0,2860.0,2167.0,963.0,261.0,85.0,50.0,168.0,118.1895
6,59213.7,7518,2023-10-08T10:55:33Z,157.4,146.7,284.0,5112.0,900.0,1222.0,0.0,484.0,290.0,753.0,1436.0,2857.0,855.0,693.0,110.0,24.0,13.0,3.0,119.01679166666666
7,72957.6,9733,2023-10-06T06:24:23Z,174.6,145.4,348.0,5970.0,2143.0,1272.0,0.0,1292.0,102.0,597.0,1542.0,2407.0,1655.0,1478.0,352.0,146.0,77.0,85.0,48.761916666666664
8,21650.8,3368,2023-10-05T08:36:27Z,102.9,115.5,1568.0,1800.0,0.0,0.0,0.0,411.0,77.0,976.0,1533.0,230.0,74.0,34.0,10.0,7.0,9.0,7.0,82.851875
9,42219.4,4970,2023-10-04T09:47:29Z,184.4,148.1,140.0,2497.0,2333.0,0.0,0.0,419.0,70.0,212.0,381.0,1646.0,1771.0,189.0,99.0,85.0,41.0,57.0,146.25645833333334
10,55307.5,7072,2023-10-03T10:34:08Z,165.6,150.9,200.0,3074.0,2560.0,1238.0,0.0,866.0,944.0,638.0,632.0,1743.0,1275.0,138.0,123.0,242.0,119.0,352.0,125.26383333333331
11,65146.6,7730,2023-10-01T06:20:36Z,163.6,150.4,181.0,4081.0,2245.0,1223.0,0.0,1798.0,323.0,787.0,1099.0,1077.0,940.0,523.0,384.0,311.0,155.0,333.0,89.48841666666667
12,47725.5,6250,2023-09-29T15:50:36Z,153.1,145.9,389.0,3350.0,246.0,2265.0,0.0,742.0,375.0,1558.0,638.0,467.0,970.0,1169.0,177.0,47.0,23.0,84.0,89.09970833333334
13,41754.1,5188,2023-09-28T05:52:58Z,175.4,155.7,62.0,2620.0,157.0,2349.0,0.0,647.0,104.0,648.0,953.0,472.0,896.0,1106.0,173.0,63.0,52.0,74.0,103.00691666666665
